x,y
5,167
157,174
175,17
99,11
199,129
199,173
175,199
161,197
28,61
12,194
182,62
129,104
35,152
55,162
71,74
22,66
187,47
181,95
84,187
40,73
34,38
136,132
164,162
141,37
75,129
67,176
153,138
27,170
148,49
47,132
184,166
174,53
168,109
111,175
24,79
121,67
85,185
64,56
125,1
157,108
20,138
39,11
37,153
98,76
56,56
175,8
186,37
54,114
8,182
154,103
178,189
70,125
161,95
21,145
32,83
10,122
178,4
166,34
189,33
90,105
63,64
58,40
106,89
115,143
158,28
88,53
189,169
192,45
135,38
179,198
175,92
194,105
70,114
164,92
124,100
80,104
79,100
21,78
30,42
13,130
120,65
59,146
19,61
86,199
134,180
84,33
153,43
23,155
37,176
159,160
196,20
119,191
194,51
129,153
122,42
67,99
101,92
83,149
86,89
84,29
74,98
89,183
11,124
92,26
89,161
140,32
77,161
153,46
68,91
57,171
190,100
85,39
178,54
70,66
182,121
133,138
166,173
145,137
45,94
105,112
182,32
109,8
52,17
33,98
13,0
49,142
115,162
99,141
76,176
72,46
155,156
49,94
3,60
18,140
171,114
99,14
107,140
86,41
14,182
24,158
116,102
116,10
179,1
122,129
119,97
152,155
75,78
11,90
47,9
36,85
148,65
193,175
135,133
117,43
190,34
176,49
49,190
118,197
110,119
70,49
33,71
173,17
29,89
117,88
197,160
182,130
15,59
160,128
155,20
145,144
91,119
166,26
125,10
26,182
42,47
154,49
63,139
150,112
59,111
12,119
159,45
156,117
148,178
18,82
194,100
66,102
56,143
70,86
34,194
47,35
21,1
127,145
166,155
145,5
39,15
184,67
1,183
182,86
175,146
154,186
80,145
17,55
127,124
152,110
65,108
82,138
60,25
26,78
47,197
78,162
110,127
195,0
182,117
102,127
194,120
105,58
175,132
120,177
65,123
129,16
192,179
34,154
30,28
32,31
5,89
70,91
42,137
183,65
140,187
71,152
30,105
123,150
121,146
37,164
60,59
131,184
159,93
182,161
6,190
87,159
172,171
6,199
159,18
191,96
144,56
29,196
65,122
49,189
76,83
121,166
118,135
184,118
67,11
7,69
122,18
53,182
143,48
136,38
81,37
89,114
77,9
19,83
152,123
58,199
184,40
121,177
12,1
89,31
1,177
29,20
172,41
25,132
94,195
152,169
88,139
133,20
62,91
114,186
121,159
61,133
143,169
183,82
69,149
157,40
102,50
84,122
188,198
148,113
191,78
91,145
109,42
87,21
76,48
183,113
194,28
102,162
96,40
121,74
1,144
138,173
18,185
19,21
176,12
112,166
103,43
151,59
166,51
154,64
90,171
50,130
178,148
139,83
11,73
138,8
