x,y
181,0
193,0
515,0
535,0
538,0
744,0
7,1
43,1
127,1
256,1
493,1
931,1
957,1
993,1
229,2
871,2
880,2
267,3
282,3
438,3
636,3
791,3
91,4
621,4
666,4
959,4
80,5
336,5
390,5
918,5
72,6
230,6
831,6
926,6
200,7
214,7
353,7
462,7
608,7
152,8
172,8
210,8
870,8
934,8
994,8
11,9
98,9
623,9
644,9
884,9
319,10
334,10
552,10
581,10
188,11
232,11
385,11
631,11
231,12
272,12
511,12
780,12
810,12
843,12
113,13
382,13
497,13
544,13
742,13
79,14
259,14
692,14
866,14
40,16
49,16
463,16
727,16
202,17
376,17
379,17
513,17
251,18
286,18
685,18
44,19
629,19
304,20
542,20
635,20
900,20
911,20
287,21
336,21
277,22
303,22
344,22
462,22
512,22
683,22
744,22
795,22
150,23
684,23
744,23
793,23
869,23
20,24
363,24
951,24
738,25
816,25
962,25
77,26
457,26
728,26
827,26
987,26
555,27
651,27
948,27
792,28
944,28
945,28
13,29
326,29
407,29
418,29
559,29
675,29
689,29
725,29
230,30
273,30
295,30
314,30
442,30
642,30
921,30
176,31
205,31
268,31
592,31
805,31
960,31
7,32
127,32
415,32
562,32
615,32
684,32
774,32
784,32
796,32
26,33
210,33
265,33
297,33
488,33
588,33
670,33
753,33
872,33
409,34
449,34
629,34
701,34
795,34
670,35
762,35
73,36
576,36
940,36
119,37
169,37
459,37
974,37
5,38
404,38
749,38
161,39
328,39
418,39
584,39
659,39
138,40
240,40
389,40
473,40
810,40
823,40
482,41
576,41
625,41
70,42
770,42
935,42
254,43
354,43
357,43
539,43
29,44
415,44
496,44
287,45
357,45
550,45
602,45
700,45
207,46
737,46
783,46
868,46
108,47
328,47
354,47
455,47
489,47
771,47
107,48
843,48
971,48
342,49
883,49
189,50
216,50
273,50
448,50
610,50
792,50
37,51
284,51
452,51
957,51
993,51
240,52
294,52
406,52
530,52
570,52
579,52
832,52
894,52
830,53
218,54
334,54
435,54
661,54
973,54
58,55
230,55
271,55
398,55
533,55
645,55
106,56
481,56
493,56
903,56
626,57
898,57
974,57
1,58
936,58
221,59
398,59
497,59
517,59
706,59
844,59
926,59
291,60
315,60
443,60
598,60
919,61
154,63
684,63
817,63
842,63
964,63
147,64
516,64
